id,pos_x,pos_y,pos_z,area,community_granularity_1,community_granularity_2,community_granularity_3
1,88.017654,143.88911,83.259131,43,1,23,247
2,88.071787,143.7922,83.237149,43,1,23,247
3,88.093434,143.9519,83.168331,43,1,23,247
4,88.063898,143.81981,83.317563,43,1,23,247
5,88.066131,143.97354,83.23847,43,1,23,247
6,88.099804,143.9407,83.302861,43,1,23,247
7,88.074268,143.94095,83.318852,43,1,23,247
8,87.973951,143.88182,83.321619,43,1,23,247
9,88.07221,143.8834,83.28435,43,1,23,247
10,88.028159,143.86602,83.277468,43,1,23,247
11,88.256278,143.93238,81.273889,30,1,23,247
12,88.176467,144.016,81.305591,30,1,23,247
13,88.293064,143.93797,81.229345,30,1,23,247
14,88.310326,143.89644,81.247644,30,1,23,247
15,88.219317,143.96483,81.340796,30,1,23,247
16,88.30954,143.9924,81.32547,30,1,23,247
17,88.295247,143.85485,81.258936,30,1,23,247
18,88.177126,144.00335,81.224019,30,1,23,247
19,88.309628,144.01482,81.286713,30,1,23,247
20,88.273387,143.93668,81.210105,30,1,23,247
21,89.994684,142.86687,83.474483,43,1,23,247
22,90.092277,142.77197,83.509198,43,1,23,247
23,90.064656,142.94996,83.569872,43,1,23,247
24,90.078525,142.96276,83.511576,43,1,23,247
25,89.934541,142.83168,83.389285,43,1,23,247
26,90.083715,142.79294,83.525017,43,1,23,247
27,90.09409,142.94152,83.41156,43,1,23,247
28,89.945265,142.81749,83.459886,43,1,23,247
29,90.023149,142.85375,83.483482,43,1,23,247
30,89.973537,142.80753,83.421793,43,1,23,247
31,88.643929,142.81322,86.333256,43,1,23,247
32,88.577094,142.75802,86.235219,43,1,23,247
33,88.589913,142.84836,86.30149,43,1,23,247
34,88.734884,142.7216,86.243871,43,1,23,247
35,88.657277,142.85565,86.325588,43,1,23,247
36,88.553918,142.83514,86.233372,43,1,23,247
37,88.719778,142.72676,86.379814,43,1,23,247
38,88.698388,142.79715,86.4326,43,1,23,247
39,88.728177,142.75537,86.269762,43,1,23,247
40,88.627044,142.78196,86.413422,43,1,23,247
41,85.554768,143.82509,86.991435,43,1,23,242
42,85.543448,143.81323,86.959646,43,1,23,242
43,85.637364,143.88604,86.997386,43,1,23,242
44,85.465209,143.92246,87.039219,43,1,23,242
45,85.500182,143.77885,86.941686,43,1,23,242
46,85.6274,143.91304,87.065428,43,1,23,242
47,85.646,143.89188,87.027818,43,1,23,242
48,85.582251,143.82667,87.050282,43,1,23,242
49,85.616175,143.83348,86.956724,43,1,23,242
50,85.50894,143.88625,87.038364,43,1,23,242
51,83.807754,143.8909,84.768013,43,1,23,242
52,83.855958,143.87562,84.739019,43,1,23,242
53,83.882609,143.90501,84.735929,43,1,23,242
54,83.865104,143.8945,84.731985,43,1,23,242
55,83.817906,143.85761,84.819312,43,1,23,242
56,83.768909,143.8863,84.669109,43,1,23,242
57,83.723371,143.83305,84.707436,43,1,23,242
58,83.816705,143.96103,84.76574,43,1,23,242
59,83.761037,143.79583,84.811311,43,1,23,242
60,83.732447,143.79187,84.794705,43,1,23,242
61,83.172871,143.96709,81.67106,43,1,29,301
62,83.089717,143.95001,81.6443,43,1,29,301
63,83.217119,143.89981,81.613273,43,1,29,301
64,83.15338,143.9403,81.61937,43,1,29,301
65,83.149908,144.05158,81.751577,43,1,29,301
66,83.157021,144.05254,81.573898,43,1,29,301
67,83.192624,144.02477,81.768943,43,1,29,301
68,83.117675,144.01167,81.592605,43,1,29,301
69,83.184631,143.96076,81.646384,43,1,29,301
70,83.222762,144.05475,81.638399,43,1,29,301
71,84.532234,145.02044,78.835115,30,1,29,308
72,84.617207,145.09582,78.88141,30,1,29,308
73,84.506399,145.00662,78.796376,30,1,29,308
74,84.585423,145.04369,78.756569,30,1,29,308
75,84.529931,144.99877,78.747739,30,1,29,308
76,84.57275,144.93274,78.91438,30,1,29,308
77,84.632047,145.08668,78.837573,30,1,29,308
78,84.548792,145.07395,78.915155,30,1,29,308
79,84.459706,145.01189,78.914381,30,1,29,308
80,84.518261,144.94534,78.833359,30,1,29,308
81,88.614214,143.9973,78.296026,30,1,29,308
82,88.610601,144.0361,78.319462,30,1,29,308
83,88.526683,144.08462,78.216782,30,1,29,308
84,88.689954,143.99965,78.26801,30,1,29,308
85,88.640714,144.02077,78.232281,30,1,29,308
86,88.516661,143.98108,78.240716,30,1,29,308
87,88.67897,143.98181,78.333417,30,1,29,308
88,88.629605,143.91028,78.345141,30,1,29,308
89,88.698432,143.91116,78.269933,30,1,29,308
