neuron_id,community_granularity_1,community_granularity_2,community_granularity_3
0,1,23,247
1,1,23,247
2,1,23,247
3,1,23,247
4,1,23,247
5,1,23,247
6,1,23,247
7,1,23,247
8,1,23,247
9,1,23,247
10,1,23,247
11,1,23,247
12,1,23,247
13,1,23,247
14,1,23,247
15,1,23,247
16,1,23,247
17,1,23,247
18,1,23,247
19,1,23,247
20,1,23,247
21,1,23,247
22,1,23,247
23,1,23,247
24,1,23,247
25,1,23,247
26,1,23,247
27,1,23,247
28,1,23,247
29,1,23,247
30,1,23,247
31,1,23,247
32,1,23,247
33,1,23,247
34,1,23,247
35,1,23,247
36,1,23,247
37,1,23,247
38,1,23,247
39,1,23,247
40,1,23,242
41,1,23,242
42,1,23,242
43,1,23,242
44,1,23,242
45,1,23,242
46,1,23,242
47,1,23,242
48,1,23,242
49,1,23,242
50,1,23,242
51,1,23,242
52,1,23,242
53,1,23,242
54,1,23,242
55,1,23,242
56,1,23,242
57,1,23,242
58,1,23,242
59,1,23,242
60,1,29,301
61,1,29,301
62,1,29,301
63,1,29,301
64,1,29,301
65,1,29,301
66,1,29,301
67,1,29,301
68,1,29,301
69,1,29,301
70,1,29,308
71,1,29,308
72,1,29,308
73,1,29,308
74,1,29,308
75,1,29,308
76,1,29,308
77,1,29,308
78,1,29,308
79,1,29,308
80,1,29,308
81,1,29,308
82,1,29,308
83,1,29,308
84,1,29,308
85,1,29,308
86,1,29,308
87,1,29,308
88,1,29,308
89,1,29,308
90,1,23,247
91,1,23,247
92,1,23,247
93,1,23,247
94,1,23,247
95,1,23,247
96,1,23,247
97,1,23,247
98,1,23,247
99,1,23,247
100,1,23,247
101,1,23,247
102,1,23,247
103,1,23,247
104,1,23,247
105,1,23,247
106,1,23,247
107,1,23,247
108,1,23,247
109,1,23,247
110,1,23,241
111,1,23,241
112,1,23,241
113,1,23,241
114,1,23,241
115,1,23,241
116,1,23,241
117,1,23,241
118,1,23,241
119,1,23,241
120,1,23,248
121,1,23,248
122,1,23,248
123,1,23,248
124,1,23,248
125,1,23,248
126,1,23,248
127,1,23,248
128,1,23,248
129,1,23,248
130,1,23,248
131,1,23,248
132,1,23,248
133,1,23,248
134,1,23,248
135,1,23,248
136,1,23,248
137,1,23,248
138,1,23,248
139,1,23,248
140,1,23,242
141,1,23,242
142,1,23,242
143,1,23,242
144,1,23,242
145,1,23,242
146,1,23,242
147,1,23,242
148,1,23,242
149,1,23,242
150,1,23,242
151,1,23,242
152,1,23,242
153,1,23,242
154,1,23,242
155,1,23,242
156,1,23,242
157,1,23,242
158,1,23,242
159,1,23,242
160,1,23,242
161,1,23,242
162,1,23,242
163,1,23,242
164,1,23,242
165,1,23,242
166,1,23,242
167,1,23,242
168,1,23,242
169,1,23,242
170,1,29,301
171,1,29,301
172,1,29,301
173,1,29,301
174,1,29,301
175,1,29,301
176,1,29,301
177,1,29,301
178,1,29,301
179,1,29,301
180,1,29,301
181,1,29,301
182,1,29,301
