SourceId,TargetId,Weight
23598,23599,12
23599,23600,12
23600,23601,12
23601,23602,12
23602,23603,12
23603,23604,12
23604,23605,12
23605,23606,12
23606,23607,12
23607,23608,12
23608,23609,12
23609,23610,12
23610,23611,12
23611,23612,12
23612,23613,12
23613,23614,12
23614,23615,12
23616,23617,455
23617,23618,455
23618,23619,455
23619,23620,455
23620,23621,455
23621,23622,455
23622,23623,455
23623,23624,455
23624,23625,455
23625,23626,455
23626,23627,455
23627,23628,455
23628,23629,455
23629,23630,455
23630,23631,455
23631,23632,455
23632,23633,455
23634,23635,664
23635,23636,664
23636,23637,664
23637,23638,664
23638,23639,664
23639,23640,664
23640,23641,664
23641,23642,664
23642,23643,664
23643,23644,664
23644,23645,664
23645,23646,664
23646,23647,664
23647,23648,664
23648,23649,664
23649,23650,664
23650,23651,664
23652,23653,2913
23653,23654,2913
23654,23655,2913
23655,23656,2913
23656,23657,2913
23657,23658,2913
23658,23659,2913
23659,23660,2913
23660,23661,2913
23661,23662,2913
23662,23663,2913
23663,23664,2913
23664,23665,2913
23665,23666,2913
23666,23667,2913
23667,23668,2913
23668,23669,2913
23670,23671,848
23671,23672,848
23672,23673,848
23673,23674,848
23674,23675,848
23675,23676,848
23676,23677,848
23677,23678,848
23678,23679,848
23679,23680,848
23680,23681,848
23681,23682,848
23682,23683,848
23683,23684,848
23684,23685,848
23685,23686,848
23686,23687,848
23688,23689,737
23689,23690,737
23690,23691,737
23691,23692,737
23692,23693,737
23693,23694,737
23694,23695,737
23695,23696,737
23696,23697,737
23697,23698,737
23698,23699,737
23699,23700,737
23700,23701,737
23701,23702,737
23702,23703,737
23703,23704,737
23704,23705,737
23706,23707,361
23707,23708,361
23708,23709,361
23709,23710,361
23710,23711,361
23711,23712,361
23712,23713,361
23713,23714,361
23714,23715,361
23715,23716,361
23716,23717,361
23717,23718,361
23718,23719,361
23719,23720,361
23720,23721,361
23721,23722,361
23722,23723,361
23724,23725,12
23725,23726,12
23726,23727,12
23727,23728,12
23728,23729,12
23729,23730,12
23730,23731,12
23731,23732,12
23732,23733,12
23733,23734,12
23734,23735,12
23735,23736,12
23736,23737,12
23737,23738,12
23738,23739,12
23739,23740,12
23740,23741,12
23742,23743,361
23743,23744,361
23744,23745,361
23745,23746,361
23746,23747,361
23747,23748,361
23748,23749,361
23749,23750,361
23750,23751,361
23751,23752,361
23752,23753,361
23753,23754,361
23754,23755,361
23755,23756,361
23756,23757,361
23757,23758,361
23758,23759,361
23760,23761,12
23761,23762,12
23762,23763,12
23763,23764,12
23764,23765,12
23765,23766,12
23766,23767,12
23767,23768,12
23768,23769,12
23769,23770,12
23770,23771,12
23771,23772,12
23772,23773,12
23773,23774,12
23774,23775,12
23775,23776,12
23776,23777,12
24624,24625,174
24625,24626,174
24626,24627,174
24627,24628,174
24628,24629,174
24629,24630,174
24630,24631,174
24631,24632,174
24632,24633,174
24633,24634,174
24634,24635,174
24635,24636,174
24636,24637,174
24637,24638,174
24638,24639,174
24639,24640,174
24640,24641,174
24642,24643,1
24643,24644,1
24644,24645,1
24645,24646,1
24646,24647,1
24647,24648,1
24648,24649,1
24649,24650,1
24650,24651,1
24651,24652,1
24652,24653,1
24653,24654,1
24654,24655,1
24655,24656,1
24656,24657,1
24657,24658,1
24658,24659,1
25992,25993,69
25993,25994,69
25994,25995,69
25995,25996,69
25996,25997,69
25997,25998,69
25998,25999,69
25999,26000,69
26000,26001,69
26001,26002,69
26002,26003,69
26003,26004,69
26004,26005,69
26005,26006,69
26006,26007,69
26007,26008,69
26008,26009,69
26640,26641,7
26641,26642,7
26642,26643,7
26643,26644,7
26644,26645,7
26645,26646,7
26646,26647,7
26647,26648,7
26648,26649,7
26649,26650,7
26650,26651,7
26651,26652,7
26652,26653,7
26653,26654,7
26654,26655,7
26655,26656,7
26656,26657,7
28152,28153,3
28153,28154,3
28154,28155,3
28155,28156,3
28156,28157,3
28157,28158,3
28158,28159,3
28159,28160,3
28160,28161,3
28161,28162,3
28162,28163,3
28163,28164,3
28164,28165,3
28165,28166,3
28166,28167,3
28167,28168,3
28168,28169,3
28170,28171,10
28171,28172,10
28172,28173,10
28173,28174,10
28174,28175,10
28175,28176,10
28176,28177,10
28177,28178,10
28178,28179,10
28179,28180,10
28180,28181,10
28181,28182,10
28182,28183,10
28183,28184,10
28184,28185,10
28185,28186,10
28186,28187,10
28188,28189,1
28189,28190,1
28190,28191,1
28191,28192,1
28192,28193,1
28193,28194,1
28194,28195,1
28195,28196,1
28196,28197,1
28197,28198,1
28198,28199,1
28199,28200,1
28200,28201,1
28201,28202,1
28202,28203,1
28203,28204,1
28204,28205,1
29610,29611,2
29611,29612,2
29612,29613,2
29613,29614,2
29614,29615,2
29615,29616,2
29616,29617,2
29617,29618,2
29618,29619,2
29619,29620,2
29620,29621,2
29621,29622,2
29622,29623,2
29623,29624,2
29624,29625,2
29625,29626,2
29626,29627,2
37782,37783,2956
37783,37784,2956
37784,37785,2956
37785,37786,2956
37786,37787,2956
37787,37788,2956
37788,37789,2956
37789,37790,2956
37790,37791,2956
37791,37792,2956
37792,37793,2956
37793,37794,2956
37794,37795,2956
37795,37796,2956
37796,37797,2956
37797,37798,2956
37798,37799,2956
37800,37801,631
37801,37802,631
37802,37803,631
37803,37804,631
37804,37805,631
37805,37806,631
37806,37807,631
37807,37808,631
37808,37809,631
37809,37810,631
37810,37811,631
37811,37812,631
37812,37813,631
37813,37814,631
37814,37815,631
37815,37816,631
37816,37817,631
37818,37819,1044
37819,37820,1044
37820,37821,1044
37821,37822,1044
37822,37823,1044
37823,37824,1044
37824,37825,1044
37825,37826,1044
37826,37827,1044
37827,37828,1044
37828,37829,1044
37829,37830,1044
37830,37831,1044
37831,37832,1044
37832,37833,1044
37833,37834,1044
37834,37835,1044
37836,37837,811
37837,37838,811
37838,37839,811
37839,37840,811
37840,37841,811
37841,37842,811
37842,37843,811
37843,37844,811
37844,37845,811
37845,37846,811
37846,37847,811
37847,37848,811
37848,37849,811
37849,37850,811
37850,37851,811
37851,37852,811
37852,37853,811
37854,37855,942
37855,37856,942
37856,37857,942
37857,37858,942
37858,37859,942
37859,37860,942
37860,37861,942
37861,37862,942
37862,37863,942
37863,37864,942
37864,37865,942
37865,37866,942
37866,37867,942
37867,37868,942
37868,37869,942
37869,37870,942
37870,37871,942
37872,37873,30
37873,37874,30
37874,37875,30
37875,37876,30
37876,37877,30
37877,37878,30
37878,37879,30
37879,37880,30
37880,37881,30
37881,37882,30
37882,37883,30
37883,37884,30
37884,37885,30
37885,37886,30
37886,37887,30
37887,37888,30
37888,37889,30
37890,37891,891
37891,37892,891
37892,37893,891
37893,37894,891
37894,37895,891
37895,37896,891
37896,37897,891
37897,37898,891
37898,37899,891
37899,37900,891
37900,37901,891
37901,37902,891
37902,37903,891
37903,37904,891
37904,37905,891
37905,37906,891
37906,37907,891
37908,37909,90
37909,37910,90
37910,37911,90
37911,37912,90
37912,37913,90
37913,37914,90
37914,37915,90
37915,37916,90
37916,37917,90
37917,37918,90
37918,37919,90
37919,37920,90
37920,37921,90
37921,37922,90
37922,37923,90
37923,37924,90
37924,37925,90
37926,37927,24
37927,37928,24
37928,37929,24
37929,37930,24
37930,37931,24
37931,37932,24
37932,37933,24
37933,37934,24
37934,37935,24
37935,37936,24
37936,37937,24
37937,37938,24
37938,37939,24
37939,37940,24
37940,37941,24
37941,37942,24
37942,37943,24
37944,37945,178
37945,37946,178
37946,37947,178
37947,37948,178
37948,37949,178
37949,37950,178
37950,37951,178
37951,37952,178
37952,37953,178
37953,37954,178
37954,37955,178
37955,37956,178
37956,37957,178
37957,37958,178
37958,37959,178
37959,37960,178
37960,37961,178
37962,37963,2
37963,37964,2
37964,37965,2
37965,37966,2
37966,37967,2
37967,37968,2
37968,37969,2
37969,37970,2
37970,37971,2
37971,37972,2
37972,37973,2
37973,37974,2
37974,37975,2
37975,37976,2
37976,37977,2
37977,37978,2
37978,37979,2
37980,37981,276
37981,37982,276
37982,37983,276
37983,37984,276
37984,37985,276
37985,37986,276
37986,37987,276
37987,37988,276
37988,37989,276
37989,37990,276
37990,37991,276
37991,37992,276
37992,37993,276
37993,37994,276
37994,37995,276
37995,37996,276
37996,37997,276
37998,37999,7
37999,38000,7
38000,38001,7
38001,38002,7
38002,38003,7
38003,38004,7
38004,38005,7
38005,38006,7
38006,38007,7
38007,38008,7
38008,38009,7
38009,38010,7
38010,38011,7
38011,38012,7
38012,38013,7
38013,38014,7
38014,38015,7
38016,38017,15
38017,38018,15
38018,38019,15
38019,38020,15
38020,38021,15
38021,38022,15
38022,38023,15
38023,38024,15
38024,38025,15
38025,38026,15
38026,38027,15
38027,38028,15
38028,38029,15
38029,38030,15
38030,38031,15
38031,38032,15
38032,38033,15
38088,38089,51
38089,38090,51
38090,38091,51
38091,38092,51
38092,38093,51
38093,38094,51
38094,38095,51
38095,38096,51
38096,38097,51
38097,38098,51
38098,38099,51
38099,38100,51
38100,38101,51
38101,38102,51
38102,38103,51
38103,38104,51
38104,38105,51
