SourceId,TargetId,Weight
6555,6556,12
6556,6557,12
6557,6558,12
6558,6559,12
6560,6561,455
6561,6562,455
6562,6563,455
6563,6564,455
6565,6566,664
6566,6567,664
6567,6568,664
6568,6569,664
6570,6571,2913
6571,6572,2913
6572,6573,2913
6573,6574,2913
6575,6576,848
6576,6577,848
6577,6578,848
6578,6579,848
6580,6581,737
6581,6582,737
6582,6583,737
6583,6584,737
6585,6586,361
6586,6587,361
6587,6588,361
6588,6589,361
6590,6591,12
6591,6592,12
6592,6593,12
6593,6594,12
6595,6596,361
6596,6597,361
6597,6598,361
6598,6599,361
6600,6601,12
6601,6602,12
6602,6603,12
6603,6604,12
6840,6841,174
6841,6842,174
6842,6843,174
6843,6844,174
6845,6846,1
6846,6847,1
6847,6848,1
6848,6849,1
7220,7221,69
7221,7222,69
7222,7223,69
7223,7224,69
7400,7401,7
7401,7402,7
7402,7403,7
7403,7404,7
7820,7821,3
7821,7822,3
7822,7823,3
7823,7824,3
7825,7826,10
7826,7827,10
7827,7828,10
7828,7829,10
7830,7831,1
7831,7832,1
7832,7833,1
7833,7834,1
8225,8226,2
8226,8227,2
8227,8228,2
8228,8229,2
10495,10496,2956
10496,10497,2956
10497,10498,2956
10498,10499,2956
10500,10501,631
10501,10502,631
10502,10503,631
10503,10504,631
10505,10506,1044
10506,10507,1044
10507,10508,1044
10508,10509,1044
10510,10511,811
10511,10512,811
10512,10513,811
10513,10514,811
10515,10516,942
10516,10517,942
10517,10518,942
10518,10519,942
10520,10521,30
10521,10522,30
10522,10523,30
10523,10524,30
10525,10526,891
10526,10527,891
10527,10528,891
10528,10529,891
10530,10531,90
10531,10532,90
10532,10533,90
10533,10534,90
10535,10536,24
10536,10537,24
10537,10538,24
10538,10539,24
10540,10541,178
10541,10542,178
10542,10543,178
10543,10544,178
10545,10546,2
10546,10547,2
10547,10548,2
10548,10549,2
10550,10551,276
10551,10552,276
10552,10553,276
10553,10554,276
10555,10556,7
10556,10557,7
10557,10558,7
10558,10559,7
10560,10561,15
10561,10562,15
10562,10563,15
10563,10564,15
10580,10581,51
10581,10582,51
10582,10583,51
10583,10584,51
10585,10586,2
10586,10587,2
10587,10588,2
10588,10589,2
10600,10601,137
10601,10602,137
10602,10603,137
10603,10604,137
10605,10606,26
10606,10607,26
10607,10608,26
10608,10609,26
10610,10611,16
10611,10612,16
10612,10613,16
10613,10614,16
10625,10626,1
10626,10627,1
10627,10628,1
10628,10629,1
10635,10636,1
10636,10637,1
10637,10638,1
10638,10639,1
10655,10656,2
10656,10657,2
10657,10658,2
10658,10659,2
