id,pos_x,pos_y,pos_z,area
1,98.3748,140.907,87.3879,2980
2,98.3748,140.907,87.3879,2980
3,98.3748,140.907,87.3879,2980
4,98.3748,140.907,87.3879,2980
5,98.3748,140.907,87.3879,2980
6,98.3748,140.907,87.3879,2980
7,98.3748,140.907,87.3879,2980
8,98.3748,140.907,87.3879,2980
9,98.3748,140.907,87.3879,2980
10,98.3748,140.907,87.3879,2980
11,98.3748,140.907,87.3879,2980
12,98.3748,140.907,87.3879,2980
13,98.3748,140.907,87.3879,2980
14,98.3748,140.907,87.3879,2980
15,98.3748,140.907,87.3879,2980
16,98.3748,140.907,87.3879,2980
17,98.3748,140.907,87.3879,2980
18,98.3748,140.907,87.3879,2980
19,98.3748,140.907,87.3879,1006
20,98.1479,139.448,90.7006,1006
21,98.3014,137.851,93.9501,1006
22,98.7699,136.112,97.0944,1006
23,99.474,134.121,100.035,1006
24,99.4325,133.614,98.5446,1006
25,99.5726,134.02,94.9816,1006
26,100.218,134.552,91.4529,1006
27,100.297,134.862,90.3823,1006
28,99.5987,134.545,93.9178,1006
29,99.538,134.119,97.4989,1006
30,99.7107,133.736,101.101,1006
31,99.5172,133.523,104.694,1006
32,98.1586,133.705,107.853,1006
33,95.3118,134.572,109.391,1006
34,91.978,135.963,109.066,1006
35,88.6491,137.354,108.692,1006
36,85.3266,138.744,108.263,1006
37,98.3748,140.907,87.3879,422
38,97.7333,139.086,91.2403,422
39,98.5897,137.269,95.0209,422
40,99.6595,135.425,98.7656,422
41,100.503,133.316,102.421,422
42,98.7409,133.531,99.2111,422
43,97.7964,134.34,95.1172,422
44,94.9868,135.218,92.3418,422
45,91.1331,135.98,90.6125,422
46,87.1835,136.681,89.0386,422
47,83.402,137.357,87.1148,422
48,79.7263,138.042,84.9736,422
49,75.8602,138.894,83.4886,422
50,71.7303,140.032,83.2836,422
51,67.9277,141.137,84.3047,422
52,65.7028,141.607,87.9325,422
53,64.3649,141.765,92.0237,422
54,63.3678,141.805,96.2157,422
55,98.3748,140.907,87.3879,748
56,97.6002,139.526,90.8082,748
57,97.5435,138.276,94.3535,748
58,97.6809,137.066,97.9202,748
59,98.4859,135.546,101.228,748
60,99.7791,133.794,101.651,748
61,99.6373,134.052,97.8937,748
62,99.4973,134.518,94.156,748
63,100.307,134.884,90.4979,748
64,101.262,135.263,86.8717,748
65,102.097,135.698,83.2231,748
66,102.589,136.275,79.5395,748
67,102.318,137.174,75.9431,748
68,101.726,138.162,72.3731,748
69,102.089,138.629,68.8103,748
70,104.167,138.287,65.7085,748
71,106.936,137.832,63.2547,748
72,110.508,137.614,62.0705,748
73,98.3748,140.907,87.3879,1044
74,95.4721,141.009,85.1819,1044
75,92.314,140.997,83.364,1044
76,88.861,140.812,82.2588,1044
77,85.2718,140.421,82.1752,1044
78,81.8139,139.866,83.0571,1044
79,78.6986,139.248,82.409,1044
80,76.4143,138.66,79.7016,1044
81,74.6274,138.091,76.5777,1044
82,73.3078,137.721,73.2278,1044
83,72.6032,137.658,69.664,1044
84,72.501,137.734,66.0365,1044
85,73.1672,137.931,62.4899,1044
86,74.979,138.823,60.0823,1044
87,78.049,140.341,61.2133,1044
88,80.913,141.432,63.1906,1044
89,83.6892,142.586,65.1957,1044
90,84.7723,144.966,67.7383,1044
91,98.3748,140.907,87.3879,47
92,95.5609,140.999,85.108,47
