id,pos_x,pos_y,pos_z,area
1,98.3748,140.907,87.3879,2980
2,98.3748,140.907,87.3879,2980
3,98.3748,140.907,87.3879,2980
4,98.3748,140.907,87.3879,2980
5,98.3748,140.907,87.3879,2980
6,98.3748,140.907,87.3879,1006
7,95.1127,140.366,92.6067,1006
8,91.8507,139.825,97.8255,1006
9,88.5886,139.284,103.044,1006
10,85.3266,138.744,108.263,1006
11,98.3748,140.907,87.3879,422
12,89.623,141.132,89.5948,422
13,80.8713,141.356,91.8018,422
14,72.1196,141.58,94.0087,422
15,63.3678,141.805,96.2157,422
16,98.3748,140.907,87.3879,748
17,101.408,140.084,81.0585,748
18,104.441,139.261,74.7292,748
19,107.474,138.438,68.3998,748
20,110.508,137.614,62.0705,748
21,98.3748,140.907,87.3879,1044
22,94.9742,141.922,82.4755,1044
23,91.5736,142.937,77.5631,1044
24,88.173,143.952,72.6507,1044
25,84.7723,144.966,67.7383,1044
26,98.3748,140.907,87.3879,47
27,91.034,139.794,77.1871,47
28,83.6932,138.682,66.9863,47
29,76.3524,137.569,56.7855,47
30,69.0117,136.456,46.5848,47
31,98.3748,140.907,87.3879,157
32,88.8693,141.717,83.3295,157
33,79.3639,142.528,79.271,157
34,69.8584,143.338,75.2126,157
35,60.3529,144.149,71.1542,157
36,98.3748,140.907,87.3879,89
37,98.842,138.808,76.0119,89
38,99.3092,136.709,64.6359,89
39,99.7764,134.61,53.26,89
40,100.244,132.511,41.884,89
41,98.3748,140.907,87.3879,251
42,99.0309,137.841,96.1018,251
43,99.687,134.774,104.816,251
44,100.343,131.708,113.53,251
45,100.999,128.641,122.244,251
46,98.3748,140.907,87.3879,824
47,103.441,138.666,91.5916,824
48,108.507,136.424,95.7952,824
49,113.573,134.183,99.9989,824
50,118.639,131.941,104.203,824
51,98.3748,140.907,87.3879,1
52,95.5766,134.06,74.4222,1
53,92.7783,127.213,61.4566,1
54,89.9801,120.366,48.491,1
55,87.1819,113.519,35.5253,1
56,98.3748,140.907,87.3879,13
57,82.9805,139.235,86.1376,13
58,67.5861,137.562,84.8874,13
59,52.1918,135.89,83.6372,13
60,36.7975,134.217,82.387,13
61,98.3748,140.907,87.3879,734
62,105.662,138.506,85.0992,734
63,112.95,136.105,82.8106,734
64,120.238,133.704,80.5219,734
65,127.525,131.303,78.2333,734
66,98.3748,140.907,87.3879,32
67,89.9044,138.161,96.2299,32
68,81.4341,135.416,105.072,32
69,72.9638,132.67,113.914,32
70,64.4935,129.925,122.756,32
71,98.3748,140.907,87.3879,1
72,78.6819,130.863,92.3268,1
73,58.9889,120.818,97.2657,1
74,39.296,110.774,102.205,1
75,19.6031,100.729,107.144,1
76,98.3748,140.907,87.3879,9
77,83.8124,137.386,92.8516,9
78,69.25,133.864,98.3153,9
79,54.6876,130.342,103.779,9
80,40.1252,126.821,109.243,9
81,98.3748,140.907,87.3879,2
82,84.4899,139.437,78.6091,2
83,70.605,137.967,69.8303,2
84,56.7201,136.496,61.0515,2
85,42.8353,135.026,52.2727,2
86,84.7723,144.966,67.7383,853
87,78.6675,144.762,68.5923,853
88,72.5626,144.558,69.4462,853
89,66.4578,144.353,70.3002,853
90,60.3529,144.149,71.1542,853
91,84.7723,144.966,67.7383,652
92,91.2062,143.128,66.3213,652
93,97.64,141.29,64.9044,652
94,104.074,139.452,63.4874,652
95,110.508,137.614,62.0705,652
